Date,Team,Relinquished,Notes,Notes2
2001-12-25,Lakers,Shaquille O'Neal,placed on IR with sore left toe / right big toe (P),sore left toe / right big toe (P)
2001-12-28,Rockets,Dan Langhi,placed on IL with left ankle tendinitis,left ankle tendinitis
2001-12-29,Mavericks,Donnell Harvey,placed on IL with sprained right ankle,sprained right ankle
2001-12-29,Mavericks,Evan Eschmeyer,placed on IL with sprained left ankle,sprained left ankle
2001-12-30,76ers,Damone Brown,placed on IL with strained lower back,strained lower back
2001-12-30,Blazers,Mitchell Butler,placed on IL with sprained left knee,sprained left knee
2001-12-30,Timberwolves,Maurice Evans,placed on IR with posterior tibialis tendinitis in left knee,posterior tibialis tendinitis in left knee
2002-01-01,Blazers,Zach Randolph,placed on IL with sprained right ankle,sprained right ankle
2002-01-02,Mavericks,Shawn Bradley,placed on IL with bone bruise in right knee,bone bruise in right knee
2002-01-02,Raptors,Michael Stewart,placed on IL,placed on IL
2002-01-02,Warriors,Cedric Henderson (E.),placed on IL with left knee tendinitis,left knee tendinitis
2002-01-03,Bulls,Dalibor Bagaric,placed on IL with lower back pain,lower back pain
2002-01-04,Cavaliers,Trajan Langdon,placed on IL with sprained right ankle,sprained right ankle
2002-01-04,Lakers,Jelani McCoy,placed on IL with bone bruise in right foot,bone bruise in right foot
2002-01-04,Magic,Jeryl Sasser,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2002-01-04,Raptors,Morris Peterson,placed on IL with broken right index finger (out 6-8 weeks),broken right index finger (out 6-8 weeks)
2002-01-05,Pistons,Rodney White,placed on IL with sprained left ankle,sprained left ankle
2002-01-07,Magic,Patrick Ewing Sr.,placed on IR with right calf / Achilles tendinitis,right calf / Achilles tendinitis
2002-01-08,Mavericks,Michael Finley,placed on IL with strained left hamstring,strained left hamstring
2002-01-08,Suns,Tom Gugliotta,placed on IL with left quadriceps tendinitis,left quadriceps tendinitis
2002-01-09,Hawks,Chris Crawford (Lee),placed on IL with a torn ACL in left knee,a torn ACL in left knee
2002-01-09,Pacers,Jamison Brewer,placed on IL with strained right groin,strained right groin
2002-01-10,Raptors,Mamadou N'diaye,placed on IL with left quadriceps tendinitis,left quadriceps tendinitis
2002-01-11,Spurs,Bruce Bowen,placed on IR with broken right middle finger,broken right middle finger
2002-01-12,Knicks,Travis Knight,placed on IL with bruised right knee,bruised right knee
2002-01-12,Timberwolves,Gary Trent,placed on IR with high left ankle sprain,high left ankle sprain
2002-01-12,Wizards,Courtney Alexander,placed on IL with sprained left ankle,sprained left ankle
2002-01-13,Blazers,Ruben Boumtje Boumtje,placed on IL with sprained left ankle,sprained left ankle
2002-01-14,76ers,Jabari Smith,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-14,Hawks,Emanual Davis,placed on IR with a broken navicular bone in left wrist,a broken navicular bone in left wrist
2002-01-14,Mavericks,Charlie Bell,placed on IL with sprained right ankle,sprained right ankle
2002-01-14,Warriors,Mookie Blaylock,placed on IL with strained right calf,strained right calf
2002-01-15,Bulls,A.J. Guyton,placed on IL with left elbow bursitis,left elbow bursitis
2002-01-15,Hornets,Jerome Moiso,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-15,Spurs,(William) Tony Parker,placed on IL with sprained right ankle,sprained right ankle
2002-01-17,Rockets,Walt Williams,placed on IL with sprained right ankle,sprained right ankle
2002-01-19,Knicks,Larry Robinson (b. 1968-01-11),placed on IL with right knee patella tendinitis,right knee patella tendinitis
2002-01-21,Cavaliers,Lamond Murray,placed on IR with broken nose,broken nose
2002-01-23,Hornets,Robert Traylor / Tractor Traylor,placed on IL with sprained right ankle,sprained right ankle
2002-01-23,Jazz,Donyell Marshall,placed on IL with bruised right hip,bruised right hip
2002-01-24,Clippers,Lamar Odom,placed on IL with sprained right wrist,sprained right wrist
2002-01-24,Mavericks,Greg Buckner,placed on IR with left calf strain,left calf strain
2002-01-24,Wizards,Christian Laettner,placed on IL with deep right thigh bruise,deep right thigh bruise
2002-01-25,Celtics,Kedrick Brown,placed on IL with a sprained right ankle,a sprained right ankle
2002-01-25,Pacers,Al Harrington,placed on IL with torn ACL in right knee,torn ACL in right knee
2002-01-25,Spurs,Jason Hart,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-26,Bulls,Greg Anthony,placed on IR with partially torn right Achilles tendon,partially torn right Achilles tendon
2002-01-26,Cavaliers,Jeff Trepagnier,placed on IL with right knee tendinitis,right knee tendinitis
2002-01-26,Warriors,Dean Oliver,placed on IR with left shoulder tendinitis,left shoulder tendinitis
2002-01-28,Jazz,John Crotty,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-29,Mavericks,Charlie Bell,placed on IL with sprained right ankle,sprained right ankle
2002-01-30,Wizards,Bobby Simmons,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-31,Nets,Brandon Armstrong,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-01-31,Raptors,Hakeem Olajuwon,placed on IL with strained right quadriceps,strained right quadriceps
2002-02-01,Heat,Malik Allen,placed on IL with right knee tendinitis,right knee tendinitis
2002-02-01,Nuggets,Scott Williams,placed on IL with sore lower back,sore lower back
2002-02-01,Timberwolves,Maurice Evans,placed on IL with left knee tendinitis,left knee tendinitis
2002-02-02,Cavaliers,Trajan Langdon,placed on IL with sprained right ankle,sprained right ankle
2002-02-03,Knicks,Marcus Camby,placed on IL with torn muscle & bone contusion of right hip (out for season),torn muscle & bone contusion of right hip (out for season)
2002-02-07,Lakers,Shaquille O'Neal,placed on IR with arthritic right big toe,arthritic right big toe
2002-02-12,Magic,Jeryl Sasser,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2002-02-12,Pistons,Brian Cardinal,placed on IL with patella tendinitis in both knees,patella tendinitis in both knees
2002-02-12,Pistons,Victor Alexander,placed on IL with back spasms,back spasms
2002-02-12,Raptors,Vince Carter,placed on IL with strained left quadriceps,strained left quadriceps
2002-02-12,Wizards,Kwame Brown,placed on IL with pulled hamstring and strained left calf,pulled hamstring and strained left calf
2002-02-13,Grizzlies,Nick Anderson,placed on IL with sprained left wrist,sprained left wrist
2002-02-13,Hornets,Matt Bullard,placed on IL with back spasms,back spasms
2002-02-13,Suns,Alton Ford,placed on IL with back spasms,back spasms
2002-02-14,Grizzlies,Isaac Austin / Ike Austin,placed on IL with right knee tendinitis,right knee tendinitis
2002-02-14,Nets,Donny Marshall,placed on IL with hamstring injury,hamstring injury
2002-02-14,Spurs,Amal McCaskill,placed on IL with left knee tendinitis,left knee tendinitis
2002-02-15,Cavaliers,Vernell Coles / Bimbo Coles,placed on IL with sprained left knee,sprained left knee
2002-02-15,Mavericks,Greg Buckner,placed on IL with strained left calf,strained left calf
2002-02-15,Warriors,Cedric Henderson (E.),placed on IL with sprained right ankle,sprained right ankle
2002-02-16,Cavaliers,Brian Skinner,placed on IL with neck spasms,neck spasms
2002-02-17,Hawks,Theo Ratliff,placed on IL with strained right hip,strained right hip
2002-02-18,76ers,Derrick McKey,placed on IL with strained left calf,strained left calf
2002-02-18,Blazers,Zach Randolph,placed on IL with strained right ankle,strained right ankle
2002-02-18,Nuggets,Chris Andersen,placed on IL with chipped bone in right wrist,chipped bone in right wrist
2002-02-19,Celtics,Joseph Forte,placed on IL with sprained left ankle,sprained left ankle
2002-02-20,Bulls,Norm Richardson,placed on IL with sprained left ankle,sprained left ankle
2002-02-21,Mavericks,Adrian Griffin,placed on IL with back spasms,back spasms
2002-02-21,Mavericks,Shawn Bradley,placed on IL with sore right knee,sore right knee
2002-02-21,Suns,Jake Voskuhl,placed on IL with left foot injury,left foot injury
2002-02-22,Clippers,Corey Maggette,placed on IR with dislocated right and pinky fingers on right hand,dislocated right and pinky fingers on right hand
2002-02-22,Nets,Todd MacCulloch,placed on IR with plantar fasciaitis in left foot,plantar fasciaitis in left foot
2002-02-22,Raptors,Mamadou N'diaye,placed on IL with plantar fasciaitis in right foot,plantar fasciaitis in right foot
2002-02-22,Sonics,Vin Baker,placed on IR with dislocated toes on left foot,dislocated toes on left foot
2002-02-23,Heat,Eddie House,placed on IL with bruised right quadriceps,bruised right quadriceps
2002-02-24,Pistons,Ratko Varda,placed on IL with back spasms,back spasms
2002-02-24,Raptors,Tracy Murray,placed on IL with back spasms,back spasms
2002-02-26,Cavaliers,Chris Mihm,placed on IL with bruised right knee,bruised right knee
2002-02-26,Jazz,Quincy Lewis,placed on IL with left Achilles tendinitis,left Achilles tendinitis
2002-02-26,Kings,Mateen Cleaves,placed on IL with strained right plantar fascia muscle,strained right plantar fascia muscle
2002-02-26,Wizards,Michael Jordan (J.),placed on IL with right knee injury,right knee injury
2002-02-28,Cavaliers,DeSagana Diop,placed on IL with strained right plantar fascia,strained right plantar fascia
2002-02-28,Heat,LaPhonso Ellis,placed on IR with strained right adductor/groin,strained right adductor/groin
2002-02-28,Hornets,Jerome Moiso,placed on IL with left knee tendinitis,left knee tendinitis
2002-02-28,Spurs,Stephen Jackson,placed on IL with strained right thumb,strained right thumb
2002-03-01,76ers,Jabari Smith,placed on IL with sprained left ankle,sprained left ankle
2002-03-01,76ers,Samuel Dalembert,placed on IR with left knee bruise/bursitis,left knee bruise/bursitis
2002-03-01,Nuggets,Scott Williams,placed on IL with sore back,sore back
2002-03-03,Grizzlies,Antonis Fotsis,placed on IL with right knee tendinitis,right knee tendinitis
2002-03-04,Blazers,Erick Barkley,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-03-04,Clippers,Keyon Dooling,placed on IL with sore left ankle,sore left ankle
2002-03-05,Bucks,Mark Pope,placed on IL with back spasms,back spasms
2002-03-05,Heat,Mike James (Lamont),placed on IL with patella tendinitis in both knees,patella tendinitis in both knees
2002-03-05,Mavericks,Danny Manning,placed on IL with strained lower back,strained lower back
2002-03-05,Mavericks,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IL with sore left knee,sore left knee
2002-03-07,Nuggets,Kenny Satterfield,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-03-07,Pacers,Jamison Brewer,placed on IL with strained right calf muscle,strained right calf muscle
2002-03-07,Pistons,Zeljko Rebraca,placed on IR with fractured right orbit bone,fractured right orbit bone
2002-03-08,Sonics,Earl Watson,placed on IL with separated left shoulder,separated left shoulder
2002-03-10,Bucks,Rafer Alston,placed on IR with sore right Achilles heel,sore right Achilles heel
2002-03-11,Mavericks,Evan Eschmeyer,placed on IL with sore left ankle,sore left ankle
2002-03-12,Rockets,Kevin Willis,placed on IL with sprained left wrist,sprained left wrist
2002-03-13,Cavaliers,Jeff Trepagnier,placed on IL with right knee tendinitis,right knee tendinitis
2002-03-15,Lakers,Jelani McCoy,placed on IL with bone bruise in right foot,bone bruise in right foot
2002-03-16,Pistons,Brian Cardinal,placed on IL with tendinitis in both knees,tendinitis in both knees
2002-03-17,Raptors,Michael Stewart,placed on IL with surgery to repair hernia,surgery to repair hernia
2002-03-18,Suns,Tom Gugliotta,placed on IL with stress fracture in right foot,stress fracture in right foot
2002-03-18,Timberwolves,William Avery / Will Avery,placed on IL with right knee tendinitis,right knee tendinitis
2002-03-19,Heat,Malik Allen,placed on IL with right knee tendinitis,right knee tendinitis
2002-03-19,Kings,Brent Price,placed on IL with strained lower back,strained lower back
2002-03-21,Nuggets,Antonio McDyess,placed on IL with right knee inflammation,right knee inflammation
2002-03-21,Nuggets,James Posey,placed on IL with partially dislocated shoulder,partially dislocated shoulder
2002-03-22,Bucks,Jason Caffey,placed on IR with right ankle bone impingement,right ankle bone impingement
2002-03-22,Nets,Lucious Harris,placed on IR with broken bone in face,broken bone in face
2002-03-22,Sonics,Vladimir Radmanovic,placed on IL with sprained right big toe,sprained right big toe
2002-03-24,76ers,Allen Iverson,placed on IR with broken left index finger,broken left index finger
2002-03-25,Celtics,Kenny Anderson,placed on IL with sprained left ankle,sprained left ankle
2002-03-25,Spurs,Terry Porter (b. 1963-04-08),placed on IL with strained right calf,strained right calf
2002-03-26,Bucks,Greg Foster,placed on IR with cervical bulging disc,cervical bulging disc
2002-03-27,Sonics,Art Long,placed on IL with strained right hamstring,strained right hamstring
2002-03-28,Bucks,Michael Redd,placed on IL with sprained MCL in left knee,sprained MCL in left knee
2002-03-28,Rockets,Walt Williams,placed on IL with bone spurs in right ankle,bone spurs in right ankle
2002-03-29,Clippers,Obinna Ekezie,placed on IL with left knee tendinitis,left knee tendinitis
2002-03-29,Heat,Jim Jackson,placed on IL with sprained right ankle,sprained right ankle
2002-03-31,Nets,Donny Marshall,placed on IL with left knee tendinitis,left knee tendinitis
2002-03-31,Nuggets,Tim Hardaway Sr.,placed on IR with fractured bone in left foot,fractured bone in left foot
2002-04-02,Magic,Jud Buechler,placed on IL with strained lower back,strained lower back
2002-04-02,Mavericks,Johnny Newman,placed on IL with strained left hamstring,strained left hamstring
2002-04-03,Bulls,A.J. Guyton,placed on IL with bruised left shoulder,bruised left shoulder
2002-04-03,Spurs,Stephen Jackson,placed on IL with sprained left thumb,sprained left thumb
2002-04-03,Wizards,Michael Jordan (J.),placed on IL with right knee inflammation,right knee inflammation
2002-04-05,Celtics,Joseph Forte,placed on IL with sprained left ankle,sprained left ankle
2002-04-06,Blazers,Rick Brunson,placed on IL with sore left knee,sore left knee
2002-04-06,Blazers,Zach Randolph,placed on IL with bruised right hip,bruised right hip
2002-04-08,Clippers,Sean Rooks,placed on IL with sprained left elbow,sprained left elbow
2002-04-08,Sonics,Randy Livingston,placed on IL with sprained right ankle,sprained right ankle
2002-04-11,Jazz,Rusty LaRue,placed on IR with left shoulder inflammation,left shoulder inflammation
2002-04-12,Heat,Chris Gatling,placed on IR with mild concussion,mild concussion
2002-04-12,Heat,LaPhonso Ellis,placed on IL with right knee inflammation,right knee inflammation
2002-04-12,Knicks,Lavor Postell,placed on IR with bruised left ankle,bruised left ankle
2002-04-12,Pistons,Mikki Moore,placed on IL with back spasms,back spasms
2002-04-12,Spurs,Cherokee Parks,placed on IL,placed on IL
2002-04-13,Bulls,Charles Oakley,placed on IR with left shoulder tendinitis,left shoulder tendinitis
2002-04-13,Mavericks,Avery Johnson,placed on IL with bruised left calf,bruised left calf
2002-04-14,Nets,Todd MacCulloch,placed on IR with plantar fasciaitis in left foot,plantar fasciaitis in left foot
2002-04-15,76ers,Derrick Coleman,placed on IL with hyperextended left knee,hyperextended left knee
2002-04-16,Jazz,John Crotty,placed on IL with left knee inflammation,left knee inflammation
2002-04-16,Magic,Mike Miller,placed on IL with sprained left ankle,sprained left ankle
2002-04-16,Spurs,David Robinson,placed on IL with strained lower back,strained lower back
2002-04-17,76ers,Corie Blount,placed on IL with bruised right knee,bruised right knee
2002-04-17,Blazers,Ruben Patterson,placed on IR with sore Achilles tendons,sore Achilles tendons
2002-04-17,Kings,Bobby Jackson,placed on IL with sprained left thumb,sprained left thumb
2002-04-17,Magic,Patrick Ewing Sr.,placed on IL with strep throat,strep throat
2002-06-27,Knicks,Antonio McDyess,placed on IL with left knee inflammation,left knee inflammation
2002-10-28,76ers,Sam Clancy,placed on IL with left knee injury,left knee injury
2002-10-28,76ers,Samuel Dalembert,placed on IL recovering from surgery on left knee,placed on IL recovering from surgery on left knee
2002-10-28,Blazers,Charles Smith (Cornelius),placed on IL with sore left hip,sore left hip
2002-10-28,Blazers,Ruben Boumtje Boumtje,placed on IL with sore right knee,sore right knee
2002-10-28,Bucks,Jamal Sampson,placed on IL with chronic left ankle pain,chronic left ankle pain
2002-10-28,Bucks,Joel Przybilla,placed on IL with bone spurs in left ankle,bone spurs in left ankle
2002-10-28,Bulls,Dalibor Bagaric,placed on IR with lower leg tenosynovitis,lower leg tenosynovitis
2002-10-28,Bulls,Rick Brunson,placed on IL with right knee tendinitis,right knee tendinitis
2002-10-28,Bulls,Roger Mason Jr.,placed on IR recovering from right shoulder surgery,placed on IR recovering from right shoulder surgery
2002-10-28,Cavaliers,Dajuan Wagner,placed on IL with bladder infection,bladder infection
2002-10-28,Clippers,Lamar Odom,placed on IL with sore right wrist and ankle,sore right wrist and ankle
2002-10-28,Clippers,Melvin Ely,placed on IL with sprained left foot,sprained left foot
2002-10-28,Clippers,Tremaine Fowlkes,placed on IL with sprained right knee,sprained right knee
2002-10-28,Grizzlies,Cezary Trybanski,placed on IL with sprained right wrist,sprained right wrist
2002-10-28,Grizzlies,Chris Owens,placed on IR recovering from knee surgery,placed on IR recovering from knee surgery
2002-10-28,Grizzlies,Tony Massenburg,placed on IL with right knee tendinitis,right knee tendinitis
2002-10-28,Hawks,Chris Crawford (Lee),placed on IL with left knee rehabilitation,left knee rehabilitation
2002-10-28,Hawks,DerMarr Johnson,placed on IR with cervical vertebrae fractures,cervical vertebrae fractures
2002-10-28,Heat,Alonzo Mourning,placed on IL with kidney disorder,kidney disorder
2002-10-28,Heat,Ken Johnson,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-10-28,Heat,Sean Lampley,placed on IL with sprained left foot,sprained left foot
2002-10-28,Hornets,Matt Bullard,placed on IR with degenerative disc disease in lower back,degenerative disc disease in lower back
2002-10-28,Jazz,Raul Lopez,placed on IL with torn ACL in left knee,torn ACL in left knee
2002-10-28,Kings,Brent Price,placed on IL,placed on IL
2002-10-28,Kings,Mike Bibby,placed on IL recovering from surgery on right foot,placed on IL recovering from surgery on right foot
2002-10-28,Knicks,Latrell Sprewell,placed on IL with fractured right pinky finger,fractured right pinky finger
2002-10-28,Knicks,Lavor Postell,placed on IL with arthroscopic knee surgery,arthroscopic knee surgery
2002-10-28,Lakers,Mark Madsen,placed on IL with strained left (right per some sources) hamstring,strained left (right per some sources) hamstring
2002-10-28,Lakers,Shaquille O'Neal,placed on IL recovering from surgery on right foot,placed on IL recovering from surgery on right foot
2002-10-28,Magic,Olumide Oyedeji,placed on IL with strained lower back,strained lower back
2002-10-28,Magic,Steven Hunter,placed on IL with torn ACL in right knee,torn ACL in right knee
2002-10-28,Mavericks,Adam Harrington,placed on IL with left knee tendinitis,left knee tendinitis
2002-10-28,Mavericks,Ronald Jones / Popeye Jones,placed on IL with back spasms,back spasms
2002-10-28,Mavericks,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IL with left knee chondromalacia,left knee chondromalacia
2002-10-28,Nets,Brandon Armstrong,placed on IL with strained lower back,strained lower back
2002-10-28,Nets,Jamie Feick,placed on IL with left Achilles tendon injury,left Achilles tendon injury
2002-10-28,Nuggets,Marcus Camby,placed on IL recovering from surgery on right hip,placed on IL recovering from surgery on right hip
2002-10-28,Nuggets,Predrag Savovic,placed on IL with sprained right ankle,sprained right ankle
2002-10-28,Nuggets,Vincent Yarbrough,placed on IL with sprained left ankle,sprained left ankle
2002-10-28,Pacers,Austin Croshere,placed on IL recovering from surgery on right foot,placed on IL recovering from surgery on right foot
2002-10-28,Pacers,Reggie Miller,placed on IL with bone bruise in right ankle,bone bruise in right ankle
2002-10-28,Pistons,Don Reid,placed on IL with ruptured right Achilles tendon,ruptured right Achilles tendon
2002-10-28,Pistons,Juan Sanchez / Pepe Sanchez,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2002-10-28,Raptors,Hakeem Olajuwon,placed on IL with lower back injury,lower back injury
2002-10-28,Rockets,Pete Mickeal,placed on IL with foot injury,foot injury
2002-10-28,Rockets,Terence Morris,placed on IL with sprained left ankle,sprained left ankle
2002-10-28,Rockets,Tito Maddox,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
2002-10-28,Spurs,Mengke Bateer,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-10-28,Suns,Alton Ford,placed on IL with back spasms,back spasms
2002-10-28,Suns,Jake Voskuhl,placed on IL with sprained back,sprained back
2002-10-28,Timberwolves,Felipe Lopez,placed on IL with torn ligaments in left knee,torn ligaments in left knee
2002-10-28,Timberwolves,Joe Smith (Leynard),placed on IL with groin injury,groin injury
2002-10-28,Timberwolves,Terrell Brandon,placed on IL recovering from surgery on left knee,placed on IL recovering from surgery on left knee
2002-10-28,Warriors,Chris Mills,placed on IL with left Achilles tendinitis,left Achilles tendinitis
2002-10-28,Wizards,Brian Cardinal,placed on IL with strained right quadriceps,strained right quadriceps
2002-10-28,Wizards,Jahidi White,placed on IL recovering from surgery on left knee,placed on IL recovering from surgery on left knee
2002-10-28,Wizards,Ratko Varda,placed on IL with sore right hamstring and lower back,sore right hamstring and lower back
2002-10-30,Celtics,Kedrick Brown,placed on IL with sprained right ankle,sprained right ankle
2002-10-30,Warriors,Bob Sura,placed on IL with strained right calf,strained right calf
2002-10-31,Grizzlies,Robert Archibald,placed on IL,placed on IL
2002-10-31,Hawks,Nazr Mohammed,placed on IR with a stress fracture in right foot,a stress fracture in right foot
2002-11-03,Spurs,Craig Claxton / Speedy Claxton,placed on IR with dislocated right shoulder,dislocated right shoulder
2002-11-08,Bulls,Corie Blount,placed on IR with strained left hamstring (left knee tendinitis per Bulls media guide),strained left hamstring (left knee tendinitis per Bulls media guide)
2002-11-08,Grizzlies,Michael Dickerson,placed on IL with groin injury,groin injury
2002-11-08,Magic,Horace Grant,placed on IL with sore left knee,sore left knee
2002-11-09,Mavericks,Raef LaFrentz,placed on IL with sprained right ankle,sprained right ankle
2002-11-22,Rockets,Cuttino Mobley,placed on IL with sprained left ankle,sprained left ankle
2002-11-22,Rockets,Jason Collier,placed on IL with medial tibial periostitis,medial tibial periostitis
2002-11-22,Suns,Randy Brown,placed on IL with left knee tendinitis,left knee tendinitis
2002-11-25,Bucks,Ray Allen,placed on IL with sprained right ankle,sprained right ankle
2002-11-26,Clippers,Corey Maggette,placed on IL with torn cartilage in right knee,torn cartilage in right knee
2002-11-26,Lakers,Samaki Walker,placed on IL with strained lower back,strained lower back
2002-11-26,Pacers,Erick Strickland,placed on IL with right Achilles tendinitis,right Achilles tendinitis
2002-11-29,Nuggets,Predrag Savovic,placed on IL with sprained right ankle,sprained right ankle
2002-11-30,Mavericks,Evan Eschmeyer,placed on IL recovering from surgery on right knee,placed on IL recovering from surgery on right knee
2002-12-01,Clippers,Michael Olowokandi,placed on IL with sore left knee,sore left knee
2002-12-01,Kings,Hidayet Turkoglu / Hedo Turkoglu,placed on IL with sprained right wrist,sprained right wrist
2002-12-01,Lakers,Jannero Pargo,placed on IL with right knee tendinitis,right knee tendinitis
2002-12-02,Bucks,Toni Kukoc,placed on IL with torn ligament in right thumb / left thumb (per Bucks media guide),torn ligament in right thumb / left thumb (per Bucks media guide)
2002-12-02,Knicks,Frank Williams,placed on IL with left Achilles tendinitis,left Achilles tendinitis
2002-12-02,Wizards,Juan Dixon,placed on IL with sprained left elbow,sprained left elbow
2002-12-03,76ers,Efthimios Rentzias,placed on IL with strained lower back,strained lower back
2002-12-03,Nets,Chris Childs,placed on IR with right Achilles tedinitis,right Achilles tedinitis
2002-12-03,Nets,Kerry Kittles,placed on IL with sprained left knee,sprained left knee
2002-12-04,Hornets,Jerome Moiso,placed on IL with left knee tendinitis,left knee tendinitis
2002-12-04,Magic,Olumide Oyedeji,placed on IL with strained lower back,strained lower back
2002-12-04,Pacers,Fred Jones,placed on IL with left knee tendinitis,left knee tendinitis
2002-12-06,Spurs,Emanuel Ginobili / Manu Ginobili,placed on IL with sprained right ankle,sprained right ankle
2002-12-06,Suns,Tom Gugliotta,placed on IL with bruised right foot,bruised right foot
2002-12-07,Rockets,Tito Maddox,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
2002-12-09,Cavaliers,Vernell Coles / Bimbo Coles,placed on IL with bruised left quadriceps,bruised left quadriceps
2002-12-10,Mavericks,Eduardo Najera,placed on IL recovering from surgery on left knee,placed on IL recovering from surgery on left knee
2002-12-13,Clippers,Cherokee Parks,placed on IL with back spasms,back spasms
2002-12-15,76ers,Monty Williams,placed on IL with bone bruise in left knee,bone bruise in left knee
2002-12-16,Bulls,Corie Blount,placed on IL with bruised left hip,bruised left hip
2002-12-16,Hornets,Kirk Haston,placed on IL with back spasms,back spasms
2002-12-19,Kings,Mateen Cleaves,placed on IL with strained lower back,strained lower back
2002-12-20,Nuggets,Chris Whitney,placed on IR with bone bruise in left ankle,bone bruise in left ankle
2002-12-22,Heat,Ken Johnson,placed on IL with strained lower back,strained lower back
2002-12-23,Hawks,Emanual Davis,placed on IR with a torn right Achilles tendon,a torn right Achilles tendon
2002-12-26,Clippers,Eric Piatkowski,placed on IR with lower abdominal strain,lower abdominal strain
2002-12-26,Suns,Alton Ford,placed on IL with sprained right ankle,sprained right ankle
2002-12-26,Wizards,Jared Jeffries,placed on IL with torn ACL in right knee (out for season),torn ACL in right knee (out for season)
2002-12-30,Grizzlies,Wesley Person,placed on IL with broken right index finger,broken right index finger
2002-12-30,Pacers,Jonathan Bender,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-12-31,Kings,Bobby Jackson,placed on IL with broken left hand,broken left hand
2003-01-02,Suns,Iakovos Tsakalidis / Jake Tsakalidis,placed on IR recovering from surgery on lower back,placed on IR recovering from surgery on lower back
2003-01-03,Heat,Travis Best,placed on IL with sprained right ankle,sprained right ankle
2003-01-03,Nets,Dikembe Mutombo,placed on IR recovering from surgery on right wrist,placed on IR recovering from surgery on right wrist
2003-01-06,Celtics,Ruben Wolkowyski,place on IR with appendectomy,place on IR with appendectomy
2003-01-06,Pistons,Zeljko Rebraca,placed on IL with irregular heartbeat,irregular heartbeat
2003-01-07,Sonics,Reggie Evans,placed on IL with sore right shoulder,sore right shoulder
2003-01-08,Pacers,Austin Croshere,placed on IR with bruised right rib cage,bruised right rib cage
2003-01-09,Hawks,Chris Crawford (Lee),placed on IL with left knee inflammation,left knee inflammation
2003-01-10,Bucks,Ronald Murray / Flip Murray,placed on IR with left shoulder tendinitis,left shoulder tendinitis
2003-01-10,Hornets,Bryce Drew,placed on IR with left foot inflammation,left foot inflammation
2003-01-10,Wizards,Brian Cardinal,placed on IL with left knee tendinitis,left knee tendinitis
2003-01-12,Magic,Ryan Humphrey,placed on IL with right knee tendinitis,right knee tendinitis
2003-01-13,Rockets,Glen Rice Sr.,placed on IL with strained left shoulder,strained left shoulder
2003-01-15,Clippers,Tremaine Fowlkes,placed on IL with strained right shoulder,strained right shoulder
2003-01-17,Cavaliers,Tyrone Hill,placed on IR with bruised right hand,bruised right hand
2003-01-17,Grizzlies,Robert Archibald,placed on IL with left knee tendinitis,left knee tendinitis
2003-01-17,Nuggets,Mark Bryant,placed on IL with strained right quadriceps,strained right quadriceps
2003-01-17,Nuggets,Predrag Savovic,placed on IL with sprained right ankle,sprained right ankle
2003-01-18,Heat,Sean Lampley,placed on IL with strained lower back,strained lower back
2003-01-18,Magic,Grant Hill,placed on IL with sore left ankle,sore left ankle
2003-01-20,Bulls,Jay Williams,placed on IL with sprained left ankle,sprained left ankle
2003-01-21,Nets,Rodney Rogers,placed on IL with strained left calf,strained left calf
2003-01-22,Blazers,Ruben Boumtje Boumtje,placed on IL with sore knee,sore knee
2003-01-22,Bucks,Joel Przybilla,placed on IL with sore left ankle,sore left ankle
2003-01-24,Clippers,Chris Wilcox,placed on IL with back spasms,back spasms
2003-01-24,Hawks,Ira Newble,placed on IL with left knee inflammation,left knee inflammation
2003-01-24,Kings,Lawrence Funderburke,placed on IL with plantar fasciaitis in right foot,plantar fasciaitis in right foot
2003-01-24,Spurs,David Robinson,placed on IL with lower back spasms,lower back spasms
2003-01-27,Hornets,Baron Davis,placed on IL with left knee injury,left knee injury
2003-01-28,Sonics,Vladimir Radmanovic,placed on IL with sprained left ankle,sprained left ankle
2003-01-31,Blazers,Chris Dudley,placed on IL,placed on IL
2003-01-31,Clippers,Michael Olowokandi,placed on IL with sprained left knee,sprained left knee
2003-02-01,Bulls,Marcus Fizer,placed on IL with torn ACL in right knee,torn ACL in right knee
2003-02-05,Cavaliers,William Parker / Smush Parker,placed on IL with sprained right ankle,sprained right ankle
